LOSS_KEY,GRNAME,ORIGIN,DEV_PERIOD,INCRD_LOSS,PAID_LOSS
PP_AUTO,Aegis Grp,1988,1,801,110
PP_AUTO,Aegis Grp,1988,2,641,260
PP_AUTO,Aegis Grp,1988,3,670,121
PP_AUTO,Aegis Grp,1988,4,583,50
PP_AUTO,Aegis Grp,1988,5,617,31
PP_AUTO,Aegis Grp,1988,6,624,14
PP_AUTO,Aegis Grp,1988,7,640,16
PP_AUTO,Aegis Grp,1988,8,632,29
PP_AUTO,Aegis Grp,1988,9,631,0
PP_AUTO,Aegis Grp,1988,10,631,0
PP_AUTO,Aegis Grp,1989,1,771,134
PP_AUTO,Aegis Grp,1989,2,633,161
PP_AUTO,Aegis Grp,1989,3,637,66
PP_AUTO,Aegis Grp,1989,4,435,40
PP_AUTO,Aegis Grp,1989,5,415,3
PP_AUTO,Aegis Grp,1989,6,420,16
PP_AUTO,Aegis Grp,1989,7,420,0
PP_AUTO,Aegis Grp,1989,8,420,0
PP_AUTO,Aegis Grp,1989,9,420,0
PP_AUTO,Aegis Grp,1990,1,762,69
PP_AUTO,Aegis Grp,1990,2,712,224
PP_AUTO,Aegis Grp,1990,3,715,73
PP_AUTO,Aegis Grp,1990,4,425,22
PP_AUTO,Aegis Grp,1990,5,417,11
PP_AUTO,Aegis Grp,1990,6,415,9
PP_AUTO,Aegis Grp,1990,7,414,0
PP_AUTO,Aegis Grp,1990,8,414,-1
PP_AUTO,Aegis Grp,1991,1,573,57
PP_AUTO,Aegis Grp,1991,2,579,163
PP_AUTO,Aegis Grp,1991,3,598,20
PP_AUTO,Aegis Grp,1991,4,245,2
PP_AUTO,Aegis Grp,1991,5,242,0
PP_AUTO,Aegis Grp,1991,6,242,0
PP_AUTO,Aegis Grp,1991,7,243,0
PP_AUTO,Aegis Grp,1992,1,0,0
PP_AUTO,Aegis Grp,1992,2,0,0
PP_AUTO,Aegis Grp,1992,3,0,0
PP_AUTO,Aegis Grp,1992,4,0,0
PP_AUTO,Aegis Grp,1992,5,0,0
PP_AUTO,Aegis Grp,1992,6,0,0
PP_AUTO,Aegis Grp,1993,1,0,0
PP_AUTO,Aegis Grp,1993,2,0,0
PP_AUTO,Aegis Grp,1993,3,0,0
PP_AUTO,Aegis Grp,1993,4,0,0
PP_AUTO,Aegis Grp,1993,5,0,0
PP_AUTO,Aegis Grp,1994,1,-1,-1
PP_AUTO,Aegis Grp,1994,2,0,1
PP_AUTO,Aegis Grp,1994,3,0,0
PP_AUTO,Aegis Grp,1994,4,0,0
PP_AUTO,Aegis Grp,1995,1,0,0
PP_AUTO,Aegis Grp,1995,2,0,0
PP_AUTO,Aegis Grp,1995,3,0,0
PP_AUTO,Aegis Grp,1996,1,0,0
PP_AUTO,Aegis Grp,1996,2,0,0
PP_AUTO,Aegis Grp,1997,1,0,0
OTHR_LIAB,Aegis Grp,1988,1,0,0
OTHR_LIAB,Aegis Grp,1988,2,0,0
OTHR_LIAB,Aegis Grp,1988,3,0,0
OTHR_LIAB,Aegis Grp,1988,4,0,0
OTHR_LIAB,Aegis Grp,1988,5,0,0
OTHR_LIAB,Aegis Grp,1988,6,0,0
OTHR_LIAB,Aegis Grp,1988,7,0,0
OTHR_LIAB,Aegis Grp,1988,8,0,0
OTHR_LIAB,Aegis Grp,1988,9,0,0
OTHR_LIAB,Aegis Grp,1988,10,0,0
OTHR_LIAB,Aegis Grp,1989,1,0,0
OTHR_LIAB,Aegis Grp,1989,2,0,0
OTHR_LIAB,Aegis Grp,1989,3,0,0
OTHR_LIAB,Aegis Grp,1989,4,0,0
OTHR_LIAB,Aegis Grp,1989,5,0,0
OTHR_LIAB,Aegis Grp,1989,6,0,0
OTHR_LIAB,Aegis Grp,1989,7,0,0
OTHR_LIAB,Aegis Grp,1989,8,0,0
OTHR_LIAB,Aegis Grp,1989,9,0,0
OTHR_LIAB,Aegis Grp,1990,1,0,0
OTHR_LIAB,Aegis Grp,1990,2,0,0
OTHR_LIAB,Aegis Grp,1990,3,0,0
OTHR_LIAB,Aegis Grp,1990,4,0,0
OTHR_LIAB,Aegis Grp,1990,5,0,0
OTHR_LIAB,Aegis Grp,1990,6,0,0
OTHR_LIAB,Aegis Grp,1990,7,0,0
OTHR_LIAB,Aegis Grp,1990,8,0,0
OTHR_LIAB,Aegis Grp,1991,1,0,0
OTHR_LIAB,Aegis Grp,1991,2,0,0
OTHR_LIAB,Aegis Grp,1991,3,0,0
OTHR_LIAB,Aegis Grp,1991,4,0,0
OTHR_LIAB,Aegis Grp,1991,5,0,0
OTHR_LIAB,Aegis Grp,1991,6,0,0
OTHR_LIAB,Aegis Grp,1991,7,0,0
OTHR_LIAB,Aegis Grp,1992,1,0,0
OTHR_LIAB,Aegis Grp,1992,2,0,0
OTHR_LIAB,Aegis Grp,1992,3,0,0
OTHR_LIAB,Aegis Grp,1992,4,0,0
OTHR_LIAB,Aegis Grp,1992,5,0,0
OTHR_LIAB,Aegis Grp,1992,6,0,0
